2026-06-14 15:36:58 | INFO     | Run ID : 20260614_153658
2026-06-14 15:36:58 | INFO     | Device : cpu
2026-06-14 15:36:58 | INFO     | Train samples: 8981 | Val samples: 807
2026-06-14 15:36:58 | INFO     | Model parameters: 54,722
2026-06-14 15:37:01 | INFO     | Starting training for up to 400 epochs
2026-06-14 15:38:30 | INFO     | Epoch  38/400 | train_loss=0.0742 | val_loss=0.3329 | val_mae=0.217cm | val_mape=inf% | val_f1=0.917
2026-06-14 15:38:32 | INFO     | Epoch  39/400 | train_loss=0.0760 | val_loss=0.3434 | val_mae=0.229cm | val_mape=inf% | val_f1=0.916
2026-06-14 15:38:34 | INFO     | Epoch  40/400 | train_loss=0.0875 | val_loss=0.3095 | val_mae=0.160cm | val_mape=inf% | val_f1=0.916
2026-06-14 15:38:37 | INFO     | Epoch  41/400 | train_loss=0.0811 | val_loss=0.3453 | val_mae=0.231cm | val_mape=inf% | val_f1=0.912
2026-06-14 15:38:39 | INFO     | Epoch  42/400 | train_loss=0.0731 | val_loss=0.3586 | val_mae=0.248cm | val_mape=inf% | val_f1=0.903
2026-06-14 15:38:41 | INFO     | Epoch  43/400 | train_loss=0.0722 | val_loss=0.3008 | val_mae=0.215cm | val_mape=inf% | val_f1=0.922
2026-06-14 15:38:43 | INFO     | Epoch  44/400 | train_loss=0.0691 | val_loss=0.3426 | val_mae=0.226cm | val_mape=inf% | val_f1=0.921
2026-06-14 15:38:45 | INFO     | Epoch  45/400 | train_loss=0.0717 | val_loss=0.4602 | val_mae=0.278cm | val_mape=inf% | val_f1=0.898
2026-06-14 15:38:47 | INFO     | Epoch  46/400 | train_loss=0.0671 | val_loss=0.4255 | val_mae=0.347cm | val_mape=inf% | val_f1=0.915
2026-06-14 15:38:49 | INFO     | Epoch  47/400 | train_loss=0.0559 | val_loss=0.4233 | val_mae=0.316cm | val_mape=inf% | val_f1=0.915
2026-06-14 15:38:50 | INFO     | Epoch  48/400 | train_loss=0.0514 | val_loss=0.4080 | val_mae=0.247cm | val_mape=inf% | val_f1=0.914
2026-06-14 15:38:52 | INFO     | Epoch  49/400 | train_loss=0.0563 | val_loss=0.4578 | val_mae=0.253cm | val_mape=inf% | val_f1=0.918
2026-06-14 15:38:54 | INFO     | Epoch  50/400 | train_loss=0.0432 | val_loss=0.4551 | val_mae=0.253cm | val_mape=inf% | val_f1=0.912
2026-06-14 15:38:55 | INFO     | Epoch  51/400 | train_loss=0.0444 | val_loss=0.4917 | val_mae=0.231cm | val_mape=inf% | val_f1=0.913
2026-06-14 15:38:57 | INFO     | Epoch  52/400 | train_loss=0.0610 | val_loss=0.4501 | val_mae=0.277cm | val_mape=inf% | val_f1=0.918
2026-06-14 15:38:59 | INFO     | Epoch  53/400 | train_loss=0.0564 | val_loss=0.4913 | val_mae=0.296cm | val_mape=inf% | val_f1=0.913
2026-06-14 15:39:01 | INFO     | Epoch  54/400 | train_loss=0.0435 | val_loss=0.5137 | val_mae=0.271cm | val_mape=inf% | val_f1=0.909
2026-06-14 15:39:02 | INFO     | Epoch  55/400 | train_loss=0.0424 | val_loss=0.4865 | val_mae=0.254cm | val_mape=inf% | val_f1=0.918
2026-06-14 15:39:04 | INFO     | Epoch  56/400 | train_loss=0.0555 | val_loss=0.5981 | val_mae=0.283cm | val_mape=inf% | val_f1=0.898
2026-06-14 15:39:06 | INFO     | Epoch  57/400 | train_loss=0.0506 | val_loss=0.4770 | val_mae=0.248cm | val_mape=inf% | val_f1=0.918
2026-06-14 15:39:08 | INFO     | Epoch  58/400 | train_loss=0.0407 | val_loss=0.5288 | val_mae=0.215cm | val_mape=inf% | val_f1=0.910
2026-06-14 15:39:10 | INFO     | Epoch  59/400 | train_loss=0.0478 | val_loss=0.6095 | val_mae=0.226cm | val_mape=inf% | val_f1=0.903
2026-06-14 15:39:12 | INFO     | Epoch  60/400 | train_loss=0.0368 | val_loss=0.5628 | val_mae=0.187cm | val_mape=inf% | val_f1=0.915
2026-06-14 15:39:13 | INFO     | Epoch  61/400 | train_loss=0.0543 | val_loss=0.5129 | val_mae=0.169cm | val_mape=inf% | val_f1=0.918
2026-06-14 15:39:15 | INFO     | Epoch  62/400 | train_loss=0.0606 | val_loss=0.5376 | val_mae=0.154cm | val_mape=inf% | val_f1=0.912
2026-06-14 15:39:17 | INFO     | Epoch  63/400 | train_loss=0.0433 | val_loss=0.5365 | val_mae=0.188cm | val_mape=inf% | val_f1=0.907
2026-06-14 15:39:19 | INFO     | Epoch  64/400 | train_loss=0.0515 | val_loss=0.5050 | val_mae=0.185cm | val_mape=inf% | val_f1=0.914
2026-06-14 15:39:19 | INFO     | Early stopping triggered at epoch 64 (no improvement for 60 epochs)
2026-06-14 15:39:20 | INFO     | --------------------------------------------------------------------------------
2026-06-14 15:39:20 | INFO     | Training complete. Best val_loss: 0.1513
2026-06-14 15:39:20 | INFO     | Training figure  : checkpoints\bream_presence_v1\20260614_153658\training_summary.png
2026-06-14 15:39:20 | INFO     | Best checkpoint  : checkpoints\bream_presence_v1\20260614_153658\best_model.pt
2026-06-14 15:39:20 | INFO     | Run ID : 20260614_153920
2026-06-14 15:39:20 | INFO     | Device : cpu
2026-06-14 15:39:20 | INFO     | Train samples: 8981 | Val samples: 807
2026-06-14 15:39:20 | INFO     | Model parameters: 54,722
2026-06-14 15:39:20 | INFO     | Starting training for up to 400 epochs
2026-06-14 15:39:20 | INFO     | --------------------------------------------------------------------------------
2026-06-14 15:39:22 | INFO     | Epoch   1/400 | train_loss=0.4141 | val_loss=0.5125 | val_mae=0.106cm | val_mape=inf% | val_f1=0.873  [best]
2026-06-14 15:39:25 | INFO     | Epoch   2/400 | train_loss=0.3118 | val_loss=0.2699 | val_mae=0.292cm | val_mape=inf% | val_f1=0.905  [best]
2026-06-14 15:39:27 | INFO     | Epoch   3/400 | train_loss=0.2349 | val_loss=0.2578 | val_mae=0.176cm | val_mape=inf% | val_f1=0.890  [best]
2026-06-14 15:39:29 | INFO     | Epoch   4/400 | train_loss=0.2294 | val_loss=0.1957 | val_mae=0.384cm | val_mape=inf% | val_f1=0.902  [best]
2026-06-14 15:39:30 | INFO     | Epoch   5/400 | train_loss=0.2132 | val_loss=0.2012 | val_mae=0.200cm | val_mape=inf% | val_f1=0.915
2026-06-14 15:39:32 | INFO     | Epoch   6/400 | train_loss=0.1889 | val_loss=0.1765 | val_mae=0.124cm | val_mape=inf% | val_f1=0.914  [best]
2026-06-14 15:39:34 | INFO     | Epoch   7/400 | train_loss=0.1836 | val_loss=0.1651 | val_mae=0.203cm | val_mape=inf% | val_f1=0.925  [best]
2026-06-14 15:39:36 | INFO     | Epoch   8/400 | train_loss=0.1677 | val_loss=0.2597 | val_mae=0.151cm | val_mape=inf% | val_f1=0.888
2026-06-14 15:39:38 | INFO     | Epoch   9/400 | train_loss=0.1640 | val_loss=0.2033 | val_mae=0.298cm | val_mape=inf% | val_f1=0.907
2026-06-14 15:39:39 | INFO     | Epoch  10/400 | train_loss=0.1607 | val_loss=0.1741 | val_mae=0.158cm | val_mape=inf% | val_f1=0.921
2026-06-14 15:39:41 | INFO     | Epoch  11/400 | train_loss=0.1563 | val_loss=0.2140 | val_mae=0.125cm | val_mape=inf% | val_f1=0.909
2026-06-14 15:39:43 | INFO     | Epoch  12/400 | train_loss=0.1446 | val_loss=0.1795 | val_mae=0.092cm | val_mape=inf% | val_f1=0.925
2026-06-14 15:39:45 | INFO     | Epoch  13/400 | train_loss=0.1581 | val_loss=0.1622 | val_mae=0.122cm | val_mape=inf% | val_f1=0.927  [best]
2026-06-14 15:39:46 | INFO     | Epoch  14/400 | train_loss=0.1440 | val_loss=0.2087 | val_mae=0.048cm | val_mape=inf% | val_f1=0.910
2026-06-14 15:39:48 | INFO     | Epoch  15/400 | train_loss=0.1346 | val_loss=0.2091 | val_mae=0.098cm | val_mape=inf% | val_f1=0.908
2026-06-14 15:39:49 | INFO     | Epoch  16/400 | train_loss=0.1334 | val_loss=0.3256 | val_mae=0.179cm | val_mape=inf% | val_f1=0.901
2026-06-14 15:39:51 | INFO     | Epoch  17/400 | train_loss=0.1260 | val_loss=0.2064 | val_mae=0.075cm | val_mape=inf% | val_f1=0.923
2026-06-14 15:39:52 | INFO     | Epoch  18/400 | train_loss=0.1243 | val_loss=0.1672 | val_mae=0.122cm | val_mape=inf% | val_f1=0.935
2026-06-14 15:39:54 | INFO     | Epoch  19/400 | train_loss=0.1340 | val_loss=0.1858 | val_mae=0.200cm | val_mape=inf% | val_f1=0.922
2026-06-14 15:39:55 | INFO     | Epoch  20/400 | train_loss=0.1184 | val_loss=0.2383 | val_mae=0.247cm | val_mape=inf% | val_f1=0.915
2026-06-14 15:39:57 | INFO     | Epoch  21/400 | train_loss=0.1173 | val_loss=0.2105 | val_mae=0.239cm | val_mape=inf% | val_f1=0.913
2026-06-14 15:39:58 | INFO     | Epoch  22/400 | train_loss=0.1164 | val_loss=0.2007 | val_mae=0.126cm | val_mape=inf% | val_f1=0.923
2026-06-14 15:40:00 | INFO     | Epoch  23/400 | train_loss=0.1168 | val_loss=0.2465 | val_mae=0.090cm | val_mape=inf% | val_f1=0.913
2026-06-14 15:40:02 | INFO     | Epoch  24/400 | train_loss=0.1186 | val_loss=0.2873 | val_mae=0.086cm | val_mape=inf% | val_f1=0.910
2026-06-14 15:40:03 | INFO     | Epoch  25/400 | train_loss=0.1125 | val_loss=0.2363 | val_mae=0.225cm | val_mape=inf% | val_f1=0.908
2026-06-14 15:40:05 | INFO     | Epoch  26/400 | train_loss=0.1132 | val_loss=0.2479 | val_mae=0.213cm | val_mape=inf% | val_f1=0.915
2026-06-14 15:40:07 | INFO     | Epoch  27/400 | train_loss=0.0977 | val_loss=0.2478 | val_mae=0.216cm | val_mape=inf% | val_f1=0.909
2026-06-14 15:40:09 | INFO     | Epoch  28/400 | train_loss=0.1116 | val_loss=0.2994 | val_mae=0.244cm | val_mape=inf% | val_f1=0.907
2026-06-14 15:40:11 | INFO     | Epoch  29/400 | train_loss=0.1046 | val_loss=0.2380 | val_mae=0.134cm | val_mape=inf% | val_f1=0.917
2026-06-14 15:40:13 | INFO     | Epoch  30/400 | train_loss=0.1089 | val_loss=0.2475 | val_mae=0.088cm | val_mape=inf% | val_f1=0.914
2026-06-14 15:40:15 | INFO     | Epoch  31/400 | train_loss=0.1100 | val_loss=0.2260 | val_mae=0.066cm | val_mape=inf% | val_f1=0.917
2026-06-14 15:40:16 | INFO     | Epoch  32/400 | train_loss=0.0910 | val_loss=0.2519 | val_mae=0.053cm | val_mape=inf% | val_f1=0.928
2026-06-14 15:40:18 | INFO     | Epoch  33/400 | train_loss=0.0965 | val_loss=0.3170 | val_mae=0.062cm | val_mape=inf% | val_f1=0.902
2026-06-14 15:40:20 | INFO     | Epoch  34/400 | train_loss=0.1039 | val_loss=0.2364 | val_mae=0.112cm | val_mape=inf% | val_f1=0.918
2026-06-14 15:40:21 | INFO     | Epoch  35/400 | train_loss=0.0827 | val_loss=0.3634 | val_mae=0.139cm | val_mape=inf% | val_f1=0.909
2026-06-14 15:40:23 | INFO     | Epoch  36/400 | train_loss=0.0811 | val_loss=0.2986 | val_mae=0.080cm | val_mape=inf% | val_f1=0.914
2026-06-14 15:40:24 | INFO     | Epoch  37/400 | train_loss=0.0695 | val_loss=0.4173 | val_mae=0.099cm | val_mape=inf% | val_f1=0.913
2026-06-14 15:40:26 | INFO     | Epoch  38/400 | train_loss=0.0824 | val_loss=0.3247 | val_mae=0.073cm | val_mape=inf% | val_f1=0.918
2026-06-14 15:40:28 | INFO     | Epoch  39/400 | train_loss=0.0687 | val_loss=0.3717 | val_mae=0.155cm | val_mape=inf% | val_f1=0.917
2026-06-14 15:40:29 | INFO     | Epoch  40/400 | train_loss=0.0705 | val_loss=0.4029 | val_mae=0.179cm | val_mape=inf% | val_f1=0.916
2026-06-14 15:40:31 | INFO     | Epoch  41/400 | train_loss=0.0609 | val_loss=0.4257 | val_mae=0.201cm | val_mape=inf% | val_f1=0.920
2026-06-14 15:40:32 | INFO     | Epoch  42/400 | train_loss=0.0645 | val_loss=0.4809 | val_mae=0.198cm | val_mape=inf% | val_f1=0.912
2026-06-14 15:40:34 | INFO     | Epoch  43/400 | train_loss=0.0754 | val_loss=0.3921 | val_mae=0.183cm | val_mape=inf% | val_f1=0.917
