2026-04-30 20:51:06 | INFO     | Run ID : 20260430_205106
2026-04-30 20:51:06 | INFO     | Device : cuda
2026-04-30 20:51:06 | INFO     | Train samples: 630 | Val samples: 180
2026-04-30 20:51:06 | INFO     | Model parameters: 54,722
2026-04-30 20:51:08 | INFO     | Starting training for up to 600 epochs
2026-04-30 20:51:14 | INFO     | Epoch  35/600 | train_loss=16619.3867 | val_loss=17051.1230 | val_mae=366.632cm | val_mape=36.77% | val_f1=1.000  [best]
2026-04-30 20:51:14 | INFO     | Epoch  36/600 | train_loss=16476.1189 | val_loss=16806.1442 | val_mae=362.418cm | val_mape=36.91% | val_f1=1.000  [best]
2026-04-30 20:51:14 | INFO     | Epoch  37/600 | train_loss=16159.5748 | val_loss=16038.3403 | val_mae=346.401cm | val_mape=36.78% | val_f1=1.000  [best]
2026-04-30 20:51:14 | INFO     | Epoch  38/600 | train_loss=15496.0533 | val_loss=16790.3172 | val_mae=361.599cm | val_mape=37.15% | val_f1=1.000
2026-04-30 20:51:14 | INFO     | Epoch  39/600 | train_loss=14800.2311 | val_loss=18030.9842 | val_mae=386.039cm | val_mape=36.94% | val_f1=1.000
2026-04-30 20:51:14 | INFO     | Epoch  40/600 | train_loss=14385.8465 | val_loss=14570.4266 | val_mae=316.725cm | val_mape=36.64% | val_f1=1.000  [best]
2026-04-30 20:51:14 | INFO     | Epoch  41/600 | train_loss=14368.8402 | val_loss=16863.4020 | val_mae=361.487cm | val_mape=36.83% | val_f1=1.000
2026-04-30 20:51:14 | INFO     | Epoch  42/600 | train_loss=14101.2865 | val_loss=15255.9603 | val_mae=328.473cm | val_mape=36.33% | val_f1=1.000
2026-04-30 20:51:15 | INFO     | Epoch  43/600 | train_loss=13291.4560 | val_loss=14373.3242 | val_mae=310.661cm | val_mape=34.49% | val_f1=1.000  [best]
2026-04-30 20:51:15 | INFO     | Epoch  44/600 | train_loss=13360.9407 | val_loss=15564.8296 | val_mae=334.777cm | val_mape=36.22% | val_f1=1.000
2026-04-30 20:51:15 | INFO     | Epoch  45/600 | train_loss=13284.9342 | val_loss=14174.3817 | val_mae=304.994cm | val_mape=34.92% | val_f1=1.000  [best]
2026-04-30 20:51:15 | INFO     | Epoch  46/600 | train_loss=13489.5943 | val_loss=14121.6559 | val_mae=305.695cm | val_mape=34.31% | val_f1=1.000  [best]
2026-04-30 20:51:15 | INFO     | Epoch  47/600 | train_loss=12950.1491 | val_loss=14739.0750 | val_mae=318.582cm | val_mape=34.66% | val_f1=1.000
2026-04-30 20:51:15 | INFO     | Epoch  48/600 | train_loss=12927.2707 | val_loss=13176.0381 | val_mae=287.442cm | val_mape=35.24% | val_f1=1.000  [best]
2026-04-30 20:51:15 | INFO     | Epoch  49/600 | train_loss=11663.7021 | val_loss=12678.3073 | val_mae=276.637cm | val_mape=33.75% | val_f1=1.000  [best]
2026-04-30 20:51:15 | INFO     | Epoch  50/600 | train_loss=12301.8106 | val_loss=14616.7355 | val_mae=316.511cm | val_mape=33.90% | val_f1=1.000
2026-04-30 20:51:16 | INFO     | Epoch  51/600 | train_loss=11797.1136 | val_loss=13265.9001 | val_mae=288.243cm | val_mape=34.12% | val_f1=1.000
2026-04-30 20:51:16 | INFO     | Epoch  52/600 | train_loss=11930.0079 | val_loss=13361.0365 | val_mae=291.898cm | val_mape=32.94% | val_f1=1.000
2026-04-30 20:51:16 | INFO     | Epoch  53/600 | train_loss=12166.0366 | val_loss=12774.7041 | val_mae=276.860cm | val_mape=33.76% | val_f1=1.000
2026-04-30 20:51:16 | INFO     | Epoch  54/600 | train_loss=11801.3946 | val_loss=13046.2319 | val_mae=283.816cm | val_mape=32.75% | val_f1=1.000
2026-04-30 20:51:16 | INFO     | Epoch  55/600 | train_loss=11381.4274 | val_loss=12867.4297 | val_mae=279.652cm | val_mape=32.51% | val_f1=1.000
2026-04-30 20:51:16 | INFO     | Epoch  56/600 | train_loss=11403.9787 | val_loss=12978.2490 | val_mae=281.427cm | val_mape=33.00% | val_f1=1.000
2026-04-30 20:51:16 | INFO     | Epoch  57/600 | train_loss=11597.9367 | val_loss=11864.8708 | val_mae=259.754cm | val_mape=33.19% | val_f1=1.000  [best]
2026-04-30 20:51:16 | INFO     | Epoch  58/600 | train_loss=11004.0819 | val_loss=13431.6904 | val_mae=292.181cm | val_mape=32.71% | val_f1=1.000
2026-04-30 20:51:17 | INFO     | Epoch  59/600 | train_loss=10589.3559 | val_loss=11999.1533 | val_mae=262.127cm | val_mape=34.55% | val_f1=1.000
2026-04-30 20:51:17 | INFO     | Epoch  60/600 | train_loss=11149.4839 | val_loss=12002.4862 | val_mae=263.000cm | val_mape=31.84% | val_f1=1.000
2026-04-30 20:51:17 | INFO     | Epoch  61/600 | train_loss=11328.2458 | val_loss=12313.9282 | val_mae=269.306cm | val_mape=32.61% | val_f1=1.000
2026-04-30 20:51:17 | INFO     | Epoch  62/600 | train_loss=11006.6508 | val_loss=13033.3268 | val_mae=284.975cm | val_mape=34.71% | val_f1=1.000
2026-04-30 20:51:17 | INFO     | Epoch  63/600 | train_loss=11007.6211 | val_loss=12487.6629 | val_mae=273.704cm | val_mape=32.93% | val_f1=1.000
2026-04-30 20:51:17 | INFO     | Epoch  64/600 | train_loss=10659.0041 | val_loss=12091.7847 | val_mae=266.415cm | val_mape=31.87% | val_f1=1.000
2026-04-30 20:51:17 | INFO     | Epoch  65/600 | train_loss=10619.2541 | val_loss=10933.2074 | val_mae=240.390cm | val_mape=32.40% | val_f1=1.000  [best]
2026-04-30 20:51:17 | INFO     | Epoch  66/600 | train_loss=10589.7031 | val_loss=13053.4694 | val_mae=284.248cm | val_mape=32.05% | val_f1=1.000
2026-04-30 20:51:18 | INFO     | Epoch  67/600 | train_loss=10703.4539 | val_loss=10797.1888 | val_mae=238.377cm | val_mape=32.54% | val_f1=1.000  [best]
2026-04-30 20:51:18 | INFO     | Epoch  68/600 | train_loss=11235.5338 | val_loss=11736.2401 | val_mae=257.009cm | val_mape=32.40% | val_f1=1.000
2026-04-30 20:51:18 | INFO     | Epoch  69/600 | train_loss=10713.3447 | val_loss=11692.4727 | val_mae=255.030cm | val_mape=31.93% | val_f1=1.000
2026-04-30 20:51:18 | INFO     | Epoch  70/600 | train_loss=10355.9043 | val_loss=11267.9208 | val_mae=245.219cm | val_mape=32.09% | val_f1=1.000
2026-04-30 20:51:18 | INFO     | Epoch  71/600 | train_loss=10135.1946 | val_loss=11306.7375 | val_mae=248.533cm | val_mape=31.22% | val_f1=1.000
2026-04-30 20:51:18 | INFO     | Epoch  72/600 | train_loss=10443.1574 | val_loss=12151.2546 | val_mae=265.278cm | val_mape=33.63% | val_f1=1.000
2026-04-30 20:51:18 | INFO     | Epoch  73/600 | train_loss=10426.9312 | val_loss=11667.6737 | val_mae=255.986cm | val_mape=31.01% | val_f1=1.000
2026-04-30 20:51:19 | INFO     | Epoch  74/600 | train_loss=9915.0715 | val_loss=11683.5488 | val_mae=256.103cm | val_mape=32.22% | val_f1=1.000
2026-04-30 20:51:19 | INFO     | Epoch  75/600 | train_loss=10348.4809 | val_loss=12552.6676 | val_mae=274.648cm | val_mape=32.00% | val_f1=1.000
2026-04-30 20:51:19 | INFO     | Epoch  76/600 | train_loss=9768.1563 | val_loss=11186.6014 | val_mae=246.874cm | val_mape=32.91% | val_f1=1.000
2026-04-30 20:51:19 | INFO     | Epoch  77/600 | train_loss=10498.4874 | val_loss=11942.0435 | val_mae=262.393cm | val_mape=31.53% | val_f1=1.000
2026-04-30 20:51:19 | INFO     | Epoch  78/600 | train_loss=10115.1236 | val_loss=11341.5441 | val_mae=250.054cm | val_mape=32.22% | val_f1=1.000
2026-04-30 20:51:19 | INFO     | Epoch  79/600 | train_loss=10066.0887 | val_loss=11640.7617 | val_mae=255.310cm | val_mape=32.02% | val_f1=1.000
2026-04-30 20:51:19 | INFO     | Epoch  80/600 | train_loss=10109.9422 | val_loss=11467.4854 | val_mae=251.983cm | val_mape=31.38% | val_f1=1.000
2026-04-30 20:51:19 | INFO     | Epoch  81/600 | train_loss=10464.3655 | val_loss=11392.4468 | val_mae=250.501cm | val_mape=31.34% | val_f1=1.000
2026-04-30 20:51:20 | INFO     | Epoch  82/600 | train_loss=10207.0912 | val_loss=12178.6287 | val_mae=265.336cm | val_mape=33.80% | val_f1=1.000
2026-04-30 20:51:20 | INFO     | Epoch  83/600 | train_loss=10240.4559 | val_loss=11132.0845 | val_mae=245.935cm | val_mape=32.58% | val_f1=1.000
2026-04-30 20:51:20 | INFO     | Epoch  84/600 | train_loss=9875.9383 | val_loss=11023.2723 | val_mae=244.267cm | val_mape=32.74% | val_f1=1.000
2026-04-30 20:51:20 | INFO     | Epoch  85/600 | train_loss=10082.3101 | val_loss=12020.0257 | val_mae=262.428cm | val_mape=33.08% | val_f1=1.000
2026-04-30 20:51:20 | INFO     | Epoch  86/600 | train_loss=9919.0624 | val_loss=11649.6921 | val_mae=258.184cm | val_mape=33.77% | val_f1=1.000
2026-04-30 20:51:20 | INFO     | Epoch  87/600 | train_loss=9766.6776 | val_loss=12575.5791 | val_mae=275.508cm | val_mape=32.39% | val_f1=1.000
2026-04-30 20:51:20 | INFO     | Epoch  88/600 | train_loss=10166.6310 | val_loss=11321.2192 | val_mae=249.126cm | val_mape=33.34% | val_f1=1.000
2026-04-30 20:51:20 | INFO     | Epoch  89/600 | train_loss=10013.6712 | val_loss=11479.3036 | val_mae=253.135cm | val_mape=31.44% | val_f1=1.000
2026-04-30 20:51:21 | INFO     | Epoch  90/600 | train_loss=9881.2315 | val_loss=11276.4152 | val_mae=247.602cm | val_mape=33.83% | val_f1=1.000
2026-04-30 20:51:21 | INFO     | Epoch  91/600 | train_loss=10222.3086 | val_loss=11286.3271 | val_mae=249.142cm | val_mape=33.17% | val_f1=1.000
2026-04-30 20:51:21 | INFO     | Epoch  92/600 | train_loss=9331.2177 | val_loss=11196.9329 | val_mae=246.714cm | val_mape=32.23% | val_f1=1.000
2026-04-30 20:51:21 | INFO     | Epoch  93/600 | train_loss=10148.4654 | val_loss=10861.7365 | val_mae=241.223cm | val_mape=32.23% | val_f1=1.000
2026-04-30 20:51:21 | INFO     | Epoch  94/600 | train_loss=9596.7964 | val_loss=11177.7891 | val_mae=247.173cm | val_mape=31.52% | val_f1=1.000
2026-04-30 20:51:21 | INFO     | Epoch  95/600 | train_loss=9755.8366 | val_loss=11513.0537 | val_mae=254.523cm | val_mape=33.07% | val_f1=1.000
2026-04-30 20:51:21 | INFO     | Epoch  96/600 | train_loss=10354.3234 | val_loss=11221.6743 | val_mae=248.019cm | val_mape=31.86% | val_f1=1.000
2026-04-30 20:51:21 | INFO     | Epoch  97/600 | train_loss=9291.2788 | val_loss=10883.5078 | val_mae=241.031cm | val_mape=32.05% | val_f1=1.000
2026-04-30 20:51:22 | INFO     | Epoch  98/600 | train_loss=9874.7308 | val_loss=10249.5326 | val_mae=227.591cm | val_mape=30.22% | val_f1=1.000  [best]
2026-04-30 20:51:22 | INFO     | Epoch  99/600 | train_loss=9203.0217 | val_loss=11130.3926 | val_mae=244.557cm | val_mape=31.52% | val_f1=1.000
2026-04-30 20:51:22 | INFO     | Epoch 100/600 | train_loss=9508.0813 | val_loss=11439.0274 | val_mae=250.451cm | val_mape=32.62% | val_f1=1.000
2026-04-30 20:51:22 | INFO     | Epoch 101/600 | train_loss=9290.7309 | val_loss=11371.2822 | val_mae=248.848cm | val_mape=32.12% | val_f1=1.000
2026-04-30 20:51:22 | INFO     | Epoch 102/600 | train_loss=9095.1890 | val_loss=11736.9653 | val_mae=256.212cm | val_mape=32.32% | val_f1=1.000
2026-04-30 20:51:22 | INFO     | Epoch 103/600 | train_loss=9365.3697 | val_loss=10670.6927 | val_mae=236.409cm | val_mape=32.87% | val_f1=1.000
2026-04-30 20:51:22 | INFO     | Epoch 104/600 | train_loss=8910.8282 | val_loss=11688.5187 | val_mae=256.312cm | val_mape=32.06% | val_f1=1.000
2026-04-30 20:51:22 | INFO     | Epoch 105/600 | train_loss=9455.3956 | val_loss=12053.9412 | val_mae=263.407cm | val_mape=33.95% | val_f1=1.000
2026-04-30 20:51:23 | INFO     | Epoch 106/600 | train_loss=9435.7181 | val_loss=11498.4001 | val_mae=252.039cm | val_mape=32.33% | val_f1=1.000
2026-04-30 20:51:23 | INFO     | Epoch 107/600 | train_loss=9153.3868 | val_loss=11517.5716 | val_mae=252.662cm | val_mape=32.62% | val_f1=1.000
2026-04-30 20:51:23 | INFO     | Epoch 108/600 | train_loss=9056.1358 | val_loss=11205.2070 | val_mae=247.845cm | val_mape=31.70% | val_f1=1.000
2026-04-30 20:51:23 | INFO     | Epoch 109/600 | train_loss=9074.5755 | val_loss=11061.0605 | val_mae=243.252cm | val_mape=32.23% | val_f1=1.000
