recording_file,sample_mid,is_positive,gt_length_cm,pred_length_cm,gt_weight_g,pred_weight_g,presence_prob,pred_present
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,9160,1,21.0,20.98,150.0,144.9,0.8668,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,2222,1,21.0,21.2,150.0,142.7,0.9307,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,6139,1,23.0,23.06,310.0,309.8,0.9469,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,1113,0,0.0,31.85,0.0,494.9,0.956,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,8140,1,33.0,30.95,680.0,632.5,0.9846,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,3943,0,0.0,28.05,0.0,469.9,0.5184,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,3705,1,24.0,24.08,280.0,271.0,0.9639,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,3745,1,31.0,31.2,620.0,626.5,0.9756,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,4018,0,0.0,28.14,0.0,558.0,0.9296,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,10885,0,0.0,29.35,0.0,491.0,0.9178,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,8939,0,0.0,27.37,0.0,502.1,0.9008,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,6395,1,31.0,30.98,630.0,624.0,0.9825,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,6508,1,30.0,29.51,500.0,480.7,0.9492,1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,8537,1,21.0,21.13,150.0,148.8,0.8221,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,2057,1,23.0,23.66,310.0,304.4,0.8677,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,3967,1,26.0,26.05,390.0,390.6,0.9781,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,2522,1,30.0,29.28,580.0,565.7,0.8938,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,5434,1,21.0,22.08,150.0,146.3,0.9531,1
ARDG_AQUA bream350 gr27cm  281025 1548002.csv,3415,1,27.0,26.66,350.0,352.0,0.9656,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,9761,1,33.0,32.74,680.0,664.0,0.9766,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,7665,1,23.0,23.18,310.0,308.0,0.9741,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,2880,1,36.0,35.14,800.0,800.6,0.9796,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,1814,1,23.0,24.31,310.0,388.6,0.9582,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,2387,1,33.0,32.47,680.0,674.9,0.9864,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,573,0,0.0,26.71,0.0,515.1,0.8314,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,4361,1,23.0,22.63,310.0,312.4,0.9564,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,4530,1,31.0,31.17,630.0,621.3,0.9814,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,6485,1,33.0,32.18,680.0,666.5,0.9869,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,2936,1,30.0,29.67,580.0,577.8,0.9838,1
ARDG_AQUA bream556gr 30cm  281025 1500003.csv,759,1,30.0,31.14,556.0,550.0,0.9643,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,9697,1,30.0,28.42,500.0,528.4,0.9734,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,7556,1,30.0,29.49,500.0,489.3,0.5344,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,1753,0,0.0,33.26,0.0,697.5,0.9465,1
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,11564,1,26.0,25.7,390.0,385.5,0.945,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,8075,0,0.0,30.2,0.0,532.7,0.976,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4427,1,21.0,20.54,150.0,143.6,0.947,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,4081,1,30.0,31.33,580.0,583.7,0.9681,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,1370,0,0.0,24.73,0.0,366.6,0.6262,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,4767,1,33.0,32.98,680.0,671.4,0.9915,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,1578,1,30.0,29.36,580.0,573.6,0.9815,1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,10285,1,21.0,20.8,150.0,136.1,0.9127,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,3606,1,33.0,32.07,680.0,659.4,0.9882,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,6459,1,31.0,31.48,620.0,615.5,0.9581,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,5982,0,0.0,30.05,0.0,584.6,0.9595,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,4067,0,0.0,26.81,0.0,498.6,0.9086,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,5165,1,33.0,32.53,680.0,675.5,0.9828,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,3858,1,31.0,28.43,630.0,610.8,0.9666,1
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,11147,1,26.0,25.95,390.0,379.0,0.9732,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4027,1,21.0,20.3,150.0,133.3,0.9631,1
ARDG_AQUA bream350 gr27cm  281025 1548002.csv,3108,1,27.0,27.7,350.0,372.3,0.974,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,3532,1,32.0,32.08,630.0,626.5,0.9788,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,9599,1,30.0,28.79,580.0,568.5,0.9761,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,5868,1,30.0,31.43,580.0,567.5,0.9781,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,3379,1,32.0,30.76,630.0,593.9,0.9791,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,10249,1,30.0,29.12,580.0,554.9,0.967,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,8427,1,30.0,29.73,556.0,577.5,0.9681,1
ARDG_AQUA bream620 gr31cm  281025 1618004.csv,1608,1,31.0,30.12,620.0,623.0,0.9777,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,5651,1,32.0,32.65,630.0,622.4,0.9549,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,1520,1,21.0,21.19,150.0,143.6,0.9419,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,10706,1,33.0,33.05,680.0,675.3,0.9905,1
ARDG_AQUA bream 340gr 27cm  281025 1415002.csv,986,1,27.0,26.46,340.0,330.5,0.9677,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,7758,1,26.0,25.93,390.0,371.1,0.9572,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,2550,1,36.0,35.52,800.0,796.6,0.9839,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,1854,0,0.0,27.41,0.0,545.9,0.9499,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4660,1,21.0,20.88,150.0,187.5,0.9531,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,10573,0,0.0,32.19,0.0,617.9,0.9575,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,2563,0,0.0,27.62,0.0,580.6,0.9074,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,2941,1,24.0,23.63,280.0,279.2,0.9593,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,1158,1,21.0,20.67,150.0,155.3,0.9401,1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,6005,1,21.0,20.86,150.0,119.4,0.92,1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,9130,1,21.0,21.01,150.0,145.0,0.9281,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,7299,1,30.0,30.98,556.0,543.8,0.9838,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,1897,1,24.0,24.12,280.0,272.7,0.9591,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,8924,1,23.0,22.32,310.0,301.4,0.9723,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,2773,1,23.0,23.51,310.0,285.7,0.9134,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,6311,1,30.0,29.94,500.0,486.8,0.9445,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,10171,1,31.0,28.75,630.0,738.6,0.9809,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,3233,1,33.0,33.0,680.0,671.4,0.9888,1
ARDG_AQUA bream500gr 30cm  281025 1500003.csv,3438,1,30.0,29.07,500.0,497.1,0.9724,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,2088,1,26.0,26.17,390.0,389.4,0.8967,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,11016,0,0.0,21.6,0.0,142.3,0.7383,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,2318,0,0.0,35.38,0.0,742.3,0.9702,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,6924,0,0.0,31.44,0.0,561.8,0.9714,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,1334,0,0.0,22.72,0.0,289.9,0.6161,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,4028,0,0.0,35.76,0.0,747.5,0.9788,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,3312,1,33.0,33.13,680.0,677.1,0.991,1
ARDG_AQUA bream556gr 30cm  281025 1500003.csv,128,1,30.0,31.58,556.0,596.3,0.9606,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,5590,1,30.0,30.01,500.0,482.4,0.9484,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,1506,1,30.0,29.26,580.0,569.1,0.9684,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,8474,1,23.0,23.75,310.0,300.6,0.8511,1
ARDG_AQUA bream350 gr27cm  281025 1548002.csv,856,1,27.0,27.0,350.0,343.1,0.9785,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,1369,0,0.0,24.85,0.0,322.1,0.6717,1
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,11407,1,26.0,26.44,390.0,377.4,0.9532,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,9949,1,30.0,29.32,580.0,577.6,0.9668,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,7775,1,30.0,31.43,580.0,589.9,0.9844,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,11293,0,0.0,23.46,0.0,359.6,0.9593,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,9525,1,31.0,30.94,620.0,581.9,0.9741,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,9914,1,23.0,24.39,310.0,309.2,0.9312,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,10411,1,30.0,30.39,500.0,516.6,0.973,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,7594,1,23.0,22.44,310.0,296.2,0.9378,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,1639,1,24.0,24.58,280.0,315.5,0.9527,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,2365,1,31.0,29.69,620.0,591.2,0.9736,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,6367,1,30.0,28.37,580.0,554.0,0.9716,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,3084,1,23.0,21.77,310.0,286.8,0.9673,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,8814,1,31.0,30.57,630.0,616.4,0.9857,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,7930,0,0.0,31.67,0.0,604.7,0.9632,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,3551,1,23.0,25.05,310.0,352.4,0.9256,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,10487,0,0.0,20.96,0.0,141.6,0.8199,1
ARDG_AQUA bream350 gr27cm  281025 1548002.csv,4498,1,27.0,27.16,350.0,340.2,0.9483,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,7599,1,26.0,26.29,390.0,387.8,0.9423,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,10970,1,33.0,32.37,680.0,669.8,0.9837,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,6718,1,30.0,29.98,580.0,530.7,0.9611,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,11539,1,23.0,22.79,310.0,307.9,0.9676,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,4269,1,33.0,32.96,680.0,666.0,0.9834,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,3017,1,24.0,24.13,280.0,278.0,0.965,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,6674,1,31.0,31.63,620.0,614.0,0.947,1
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,9066,1,26.0,26.23,390.0,374.1,0.9806,1
ARDG_AQUA bream 340gr 27cm  281025 1415002.csv,1075,1,27.0,27.63,340.0,362.9,0.9482,1
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,7145,1,26.0,25.86,390.0,376.6,0.9684,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,4073,1,26.0,26.59,390.0,377.5,0.971,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,11084,1,30.0,28.98,500.0,474.1,0.9376,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,2284,1,31.0,31.31,630.0,621.6,0.989,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,4288,1,26.0,27.91,390.0,440.8,0.9691,1
ARDG_AQUA bream500gr 30cm  281025 1500003.csv,769,1,30.0,30.06,500.0,469.2,0.9827,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,887,1,23.0,21.51,310.0,262.3,0.9592,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,10080,1,23.0,22.95,310.0,300.2,0.968,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,5943,1,30.0,29.39,580.0,585.6,0.9637,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,10283,1,26.0,26.03,390.0,387.0,0.9082,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,2654,0,0.0,22.52,0.0,222.2,0.9103,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,4624,1,23.0,22.56,310.0,301.2,0.969,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,7225,1,33.0,31.82,680.0,644.1,0.9829,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,4140,1,30.0,29.85,580.0,617.4,0.9788,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,9317,0,0.0,21.18,0.0,154.7,0.8491,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,10476,1,26.0,26.84,390.0,386.4,0.9675,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,9892,1,31.0,31.14,620.0,613.2,0.9636,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,6428,1,33.0,32.36,680.0,664.3,0.9858,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4544,1,21.0,21.15,150.0,141.9,0.9246,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,3608,0,0.0,33.67,0.0,786.4,0.9464,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,7392,0,0.0,30.69,0.0,544.1,0.8417,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,6968,1,23.0,23.06,310.0,304.9,0.8041,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,2219,1,23.0,23.09,310.0,342.8,0.8228,1
ARDG_AQUA bream350 gr27cm  281025 1548002.csv,2462,1,27.0,26.87,350.0,353.5,0.971,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,4478,1,30.0,30.7,580.0,584.4,0.9688,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,9343,1,31.0,30.78,630.0,611.8,0.9668,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,3543,1,24.0,24.41,280.0,267.6,0.9462,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,10593,1,26.0,26.38,390.0,390.3,0.9582,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,7476,1,30.0,30.24,580.0,562.6,0.967,1
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,8677,1,26.0,24.14,390.0,376.1,0.8345,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,2903,1,21.0,22.36,150.0,153.7,0.9195,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,6242,0,0.0,30.73,0.0,562.0,0.9102,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,4255,0,0.0,36.81,0.0,730.6,0.6647,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,9693,1,31.0,30.26,620.0,591.8,0.9716,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,2403,1,36.0,34.04,800.0,696.7,0.9868,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,7963,1,30.0,30.5,580.0,571.0,0.9834,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,6526,1,30.0,29.77,556.0,572.2,0.9616,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,1703,0,0.0,31.54,0.0,584.6,0.8313,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,1681,1,30.0,29.42,500.0,508.0,0.9667,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,5680,1,30.0,30.16,580.0,586.5,0.9703,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,11163,0,0.0,30.92,0.0,549.7,0.9659,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,5159,0,0.0,30.94,0.0,595.7,0.9634,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,9859,1,26.0,26.03,390.0,385.2,0.9693,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,3282,1,31.0,31.29,630.0,600.8,0.9782,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,9345,1,26.0,26.28,390.0,381.4,0.9133,1
ARDG_AQUA bream500gr 30cm  281025 1500003.csv,3897,1,30.0,29.77,500.0,469.9,0.9614,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,7162,1,30.0,29.8,500.0,490.4,0.9015,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,1930,0,0.0,28.72,0.0,468.8,0.727,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,6098,1,30.0,28.66,500.0,525.1,0.9578,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,1518,1,33.0,32.77,680.0,665.3,0.9839,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,3170,1,24.0,24.34,280.0,259.8,0.9445,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,6041,0,0.0,31.61,0.0,572.3,0.979,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,6008,1,30.0,30.29,580.0,573.5,0.9673,1
ARDG_AQUA bream556gr 30cm  281025 1500003.csv,472,1,30.0,28.78,556.0,541.4,0.9586,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,8302,1,33.0,32.17,680.0,671.0,0.9908,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,3803,1,36.0,34.67,800.0,717.1,0.9867,1
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,10005,1,26.0,25.82,390.0,377.6,0.9691,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,1151,1,21.0,23.77,150.0,233.9,0.9724,1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,9854,1,21.0,20.95,150.0,144.4,0.9592,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,1216,0,0.0,30.97,0.0,618.3,0.9794,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,7328,1,30.0,29.65,500.0,501.9,0.9627,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,6603,0,0.0,26.51,0.0,425.0,0.8862,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,9477,1,30.0,29.73,580.0,551.6,0.9821,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,3081,1,30.0,30.15,580.0,553.4,0.9813,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,4244,1,30.0,29.37,500.0,477.1,0.9532,1
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,8370,1,26.0,27.23,390.0,375.7,0.9671,1
ARDG_AQUA bream620 gr31cm  281025 1618004.csv,1413,1,31.0,29.35,620.0,596.8,0.949,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,1097,1,31.0,30.77,630.0,615.1,0.9792,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,11473,0,0.0,28.49,0.0,477.8,0.9506,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,8674,0,0.0,21.58,0.0,212.6,0.9478,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,5782,1,23.0,24.0,310.0,320.8,0.9546,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,10088,1,30.0,29.96,580.0,556.9,0.9854,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,3851,1,21.0,21.61,150.0,150.2,0.9441,1
ARDG_AQUA bream556gr 30cm  281025 1500003.csv,290,1,30.0,30.35,556.0,535.2,0.9809,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,465,1,24.0,26.4,280.0,339.2,0.9689,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,9127,1,30.0,30.96,580.0,570.2,0.9415,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,8799,1,30.0,31.3,556.0,640.1,0.9734,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,5625,0,0.0,29.85,0.0,556.8,0.9714,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,8750,0,0.0,29.68,0.0,554.3,0.9605,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,10728,0,0.0,25.84,0.0,444.6,0.9547,1
ARDG_AQUA bream500gr 30cm  281025 1500003.csv,1953,1,30.0,29.66,500.0,502.8,0.9786,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,5540,1,23.0,23.62,310.0,345.3,0.972,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,1974,1,33.0,32.06,680.0,693.5,0.9855,1
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,7500,1,26.0,25.32,390.0,396.0,0.9532,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,858,1,24.0,24.97,280.0,322.6,0.9353,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,3517,1,30.0,29.78,500.0,532.9,0.947,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,8331,1,30.0,30.27,580.0,561.1,0.9783,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,5516,1,31.0,31.61,620.0,599.3,0.9702,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,4613,0,0.0,26.5,0.0,317.4,0.8083,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,5665,1,31.0,30.86,630.0,644.8,0.9829,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,577,0,0.0,26.56,0.0,499.1,0.8318,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,8389,1,23.0,23.02,310.0,306.3,0.9712,1
ARDG_AQUA bream 310gr 23 sm  281025 1233003.csv,281,1,23.0,22.92,310.0,309.5,0.9601,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,10980,1,31.0,30.23,620.0,504.2,0.8299,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,9828,1,33.0,31.35,680.0,660.4,0.9853,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,7805,1,33.0,32.26,680.0,663.4,0.9721,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,8771,1,26.0,25.55,390.0,384.6,0.9782,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4879,1,21.0,20.94,150.0,125.6,0.9295,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,3467,1,32.0,31.58,630.0,618.5,0.9717,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,608,1,30.0,31.18,580.0,577.9,0.9785,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,4341,1,32.0,31.46,630.0,620.2,0.9819,1
ARDG_AQUA bream500gr 30cm  281025 1500003.csv,3532,1,30.0,30.51,500.0,510.2,0.966,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,367,0,0.0,21.41,0.0,140.5,0.6588,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,4917,1,31.0,33.06,620.0,647.0,0.9793,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,10039,1,26.0,24.78,390.0,381.1,0.9676,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,62,0,0.0,30.81,0.0,557.6,0.9739,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,7793,0,0.0,30.56,0.0,571.2,0.9638,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,835,1,30.0,28.53,580.0,576.9,0.9762,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,9914,1,33.0,32.22,680.0,665.8,0.9796,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,5646,1,21.0,21.94,150.0,209.3,0.9473,1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,5711,1,21.0,20.85,150.0,143.8,0.881,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,1808,1,32.0,31.6,630.0,645.5,0.9757,1
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,10946,1,26.0,25.58,390.0,366.8,0.9704,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,11396,1,23.0,22.72,310.0,303.0,0.9753,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,10333,1,30.0,29.41,580.0,565.7,0.9289,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,3944,0,0.0,35.83,0.0,784.0,0.9662,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,4539,1,21.0,21.67,150.0,153.7,0.9664,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,9768,1,31.0,31.63,620.0,629.0,0.9618,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,7837,1,31.0,31.6,620.0,617.8,0.9753,1
ARDG_AQUA bream556gr 30cm  281025 1500003.csv,1056,1,30.0,29.1,556.0,571.4,0.9092,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,9453,0,0.0,21.39,0.0,132.1,0.6343,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,4095,1,23.0,22.82,310.0,306.5,0.9227,1
