2026-04-30 20:51:42 | INFO     | Run ID : 20260430_205142
2026-04-30 20:51:42 | INFO     | Device : cuda
2026-04-30 20:51:42 | INFO     | Train samples: 630 | Val samples: 180
2026-04-30 20:51:42 | INFO     | Model parameters: 54,722
2026-04-30 20:51:44 | INFO     | Starting training for up to 600 epochs
2026-04-30 20:51:44 | INFO     | --------------------------------------------------------------------------------
2026-04-30 20:51:45 | INFO     | Epoch   1/600 | train_loss=47285.8094 | val_loss=47313.5286 | val_mae=973.725cm | val_mape=99.85% | val_f1=1.000  [best]
2026-04-30 20:51:45 | INFO     | Epoch   2/600 | train_loss=47305.2578 | val_loss=47169.5111 | val_mae=970.855cm | val_mape=99.47% | val_f1=1.000  [best]
2026-04-30 20:51:45 | INFO     | Epoch   3/600 | train_loss=47231.2664 | val_loss=47003.2767 | val_mae=967.560cm | val_mape=99.03% | val_f1=1.000  [best]
2026-04-30 20:51:45 | INFO     | Epoch   4/600 | train_loss=47039.3389 | val_loss=46800.0749 | val_mae=963.500cm | val_mape=98.51% | val_f1=1.000  [best]
2026-04-30 20:51:46 | INFO     | Epoch   5/600 | train_loss=46692.0766 | val_loss=46518.7533 | val_mae=957.890cm | val_mape=97.78% | val_f1=1.000  [best]
2026-04-30 20:51:46 | INFO     | Epoch   6/600 | train_loss=46466.4453 | val_loss=46238.8132 | val_mae=952.276cm | val_mape=97.05% | val_f1=1.000  [best]
2026-04-30 20:51:46 | INFO     | Epoch   7/600 | train_loss=46167.2105 | val_loss=45876.8555 | val_mae=945.044cm | val_mape=96.09% | val_f1=1.000  [best]
2026-04-30 20:51:46 | INFO     | Epoch   8/600 | train_loss=45760.2363 | val_loss=45516.9355 | val_mae=937.819cm | val_mape=95.16% | val_f1=1.000  [best]
2026-04-30 20:51:46 | INFO     | Epoch   9/600 | train_loss=45257.4836 | val_loss=45071.2917 | val_mae=928.831cm | val_mape=93.99% | val_f1=1.000  [best]
2026-04-30 20:51:46 | INFO     | Epoch  10/600 | train_loss=44868.2084 | val_loss=44524.2910 | val_mae=918.014cm | val_mape=92.57% | val_f1=1.000  [best]
2026-04-30 20:51:47 | INFO     | Epoch  11/600 | train_loss=44255.4473 | val_loss=44007.4225 | val_mae=907.545cm | val_mape=91.24% | val_f1=1.000  [best]
2026-04-30 20:51:47 | INFO     | Epoch  12/600 | train_loss=43687.5867 | val_loss=43377.3418 | val_mae=895.154cm | val_mape=89.60% | val_f1=1.000  [best]
2026-04-30 20:51:47 | INFO     | Epoch  13/600 | train_loss=43205.9238 | val_loss=42737.7780 | val_mae=882.206cm | val_mape=87.95% | val_f1=1.000  [best]
2026-04-30 20:51:47 | INFO     | Epoch  14/600 | train_loss=42499.0977 | val_loss=42013.0052 | val_mae=867.801cm | val_mape=86.05% | val_f1=1.000  [best]
2026-04-30 20:51:47 | INFO     | Epoch  15/600 | train_loss=41599.0139 | val_loss=41376.2552 | val_mae=854.940cm | val_mape=84.42% | val_f1=1.000  [best]
2026-04-30 20:51:47 | INFO     | Epoch  16/600 | train_loss=40805.9804 | val_loss=40344.7376 | val_mae=834.153cm | val_mape=81.69% | val_f1=1.000  [best]
2026-04-30 20:51:47 | INFO     | Epoch  17/600 | train_loss=39824.3073 | val_loss=39441.9648 | val_mae=816.147cm | val_mape=79.32% | val_f1=1.000  [best]
2026-04-30 20:51:48 | INFO     | Epoch  18/600 | train_loss=38895.4501 | val_loss=38337.4997 | val_mae=793.969cm | val_mape=76.43% | val_f1=1.000  [best]
2026-04-30 20:51:48 | INFO     | Epoch  19/600 | train_loss=37907.6479 | val_loss=37302.5225 | val_mae=773.085cm | val_mape=73.77% | val_f1=1.000  [best]
2026-04-30 20:51:48 | INFO     | Epoch  20/600 | train_loss=36756.4897 | val_loss=36691.3496 | val_mae=761.086cm | val_mape=72.11% | val_f1=1.000  [best]
2026-04-30 20:51:48 | INFO     | Epoch  21/600 | train_loss=35295.6263 | val_loss=34249.4085 | val_mae=711.812cm | val_mape=65.73% | val_f1=1.000  [best]
2026-04-30 20:51:48 | INFO     | Epoch  22/600 | train_loss=34037.7522 | val_loss=33417.4082 | val_mae=694.968cm | val_mape=63.47% | val_f1=1.000  [best]
2026-04-30 20:51:49 | INFO     | Epoch  23/600 | train_loss=32574.1924 | val_loss=32778.1133 | val_mae=682.231cm | val_mape=61.96% | val_f1=1.000  [best]
2026-04-30 20:51:49 | INFO     | Epoch  24/600 | train_loss=31341.2034 | val_loss=31024.7627 | val_mae=647.198cm | val_mape=57.43% | val_f1=1.000  [best]
2026-04-30 20:51:49 | INFO     | Epoch  25/600 | train_loss=29716.9432 | val_loss=29631.6533 | val_mae=618.705cm | val_mape=53.88% | val_f1=1.000  [best]
2026-04-30 20:51:49 | INFO     | Epoch  26/600 | train_loss=28178.2306 | val_loss=29296.5833 | val_mae=611.811cm | val_mape=53.23% | val_f1=1.000  [best]
2026-04-30 20:51:49 | INFO     | Epoch  27/600 | train_loss=26818.9338 | val_loss=27108.0527 | val_mae=567.270cm | val_mape=47.73% | val_f1=1.000  [best]
2026-04-30 20:51:49 | INFO     | Epoch  28/600 | train_loss=25976.6407 | val_loss=23408.8294 | val_mae=495.519cm | val_mape=43.32% | val_f1=1.000  [best]
2026-04-30 20:51:50 | INFO     | Epoch  29/600 | train_loss=24733.1733 | val_loss=24693.9906 | val_mae=519.899cm | val_mape=44.20% | val_f1=1.000
2026-04-30 20:51:50 | INFO     | Epoch  30/600 | train_loss=23598.0639 | val_loss=23028.1722 | val_mae=487.868cm | val_mape=42.74% | val_f1=1.000  [best]
2026-04-30 20:51:50 | INFO     | Epoch  31/600 | train_loss=23019.3130 | val_loss=23730.7747 | val_mae=500.530cm | val_mape=42.87% | val_f1=1.000
2026-04-30 20:51:50 | INFO     | Epoch  32/600 | train_loss=21792.6965 | val_loss=20451.1722 | val_mae=435.590cm | val_mape=40.80% | val_f1=1.000  [best]
2026-04-30 20:51:50 | INFO     | Epoch  33/600 | train_loss=21266.2580 | val_loss=22904.3340 | val_mae=482.788cm | val_mape=42.70% | val_f1=1.000
2026-04-30 20:51:50 | INFO     | Epoch  34/600 | train_loss=19990.4874 | val_loss=20364.0290 | val_mae=433.069cm | val_mape=40.33% | val_f1=1.000  [best]
2026-04-30 20:51:50 | INFO     | Epoch  35/600 | train_loss=19501.7691 | val_loss=21197.5124 | val_mae=449.991cm | val_mape=40.23% | val_f1=1.000
2026-04-30 20:51:51 | INFO     | Epoch  36/600 | train_loss=19017.8612 | val_loss=19445.2630 | val_mae=414.999cm | val_mape=39.73% | val_f1=1.000  [best]
2026-04-30 20:51:51 | INFO     | Epoch  37/600 | train_loss=18609.0595 | val_loss=18698.9756 | val_mae=399.266cm | val_mape=38.13% | val_f1=1.000  [best]
2026-04-30 20:51:51 | INFO     | Epoch  38/600 | train_loss=18109.3384 | val_loss=19178.8343 | val_mae=408.854cm | val_mape=38.61% | val_f1=1.000
2026-04-30 20:51:51 | INFO     | Epoch  39/600 | train_loss=17589.4446 | val_loss=18679.1624 | val_mae=397.703cm | val_mape=37.75% | val_f1=1.000  [best]
2026-04-30 20:51:51 | INFO     | Epoch  40/600 | train_loss=17117.7996 | val_loss=17342.8701 | val_mae=369.382cm | val_mape=36.74% | val_f1=1.000  [best]
2026-04-30 20:51:51 | INFO     | Epoch  41/600 | train_loss=16869.7078 | val_loss=17942.9434 | val_mae=383.465cm | val_mape=37.25% | val_f1=1.000
2026-04-30 20:51:52 | INFO     | Epoch  42/600 | train_loss=16349.6615 | val_loss=17185.7215 | val_mae=368.042cm | val_mape=37.57% | val_f1=1.000  [best]
2026-04-30 20:51:52 | INFO     | Epoch  43/600 | train_loss=15904.4552 | val_loss=17921.6777 | val_mae=381.805cm | val_mape=37.45% | val_f1=1.000
2026-04-30 20:51:52 | INFO     | Epoch  44/600 | train_loss=15892.2909 | val_loss=16639.0771 | val_mae=357.133cm | val_mape=36.79% | val_f1=1.000  [best]
2026-04-30 20:51:52 | INFO     | Epoch  45/600 | train_loss=15893.8768 | val_loss=17434.6296 | val_mae=373.028cm | val_mape=38.29% | val_f1=1.000
2026-04-30 20:51:52 | INFO     | Epoch  46/600 | train_loss=15605.5438 | val_loss=17149.5120 | val_mae=367.027cm | val_mape=36.70% | val_f1=1.000
