2026-05-27 14:11:06 | INFO     | Run ID : 20260527_141106
2026-05-27 14:11:06 | INFO     | Device : cpu
2026-05-27 14:11:06 | INFO     | Train samples: 3808 | Val samples: 515
2026-05-27 14:11:06 | INFO     | Model parameters: 54,722
2026-05-27 14:11:07 | INFO     | Starting training for up to 400 epochs
2026-05-27 14:11:07 | INFO     | --------------------------------------------------------------------------------
2026-05-27 14:11:08 | INFO     | Epoch   1/400 | train_loss=0.5006 | val_loss=0.6205 | val_mae=0.083cm | val_mape=inf% | val_f1=0.683  [best]
2026-05-27 14:11:09 | INFO     | Epoch   2/400 | train_loss=0.4460 | val_loss=0.3429 | val_mae=0.121cm | val_mape=inf% | val_f1=0.849  [best]
2026-05-27 14:11:10 | INFO     | Epoch   3/400 | train_loss=0.3971 | val_loss=0.5286 | val_mae=0.192cm | val_mape=inf% | val_f1=0.756
2026-05-27 14:11:10 | INFO     | Epoch   4/400 | train_loss=0.3757 | val_loss=0.3743 | val_mae=0.217cm | val_mape=inf% | val_f1=0.821
2026-05-27 14:11:11 | INFO     | Epoch   5/400 | train_loss=0.3178 | val_loss=0.3769 | val_mae=0.293cm | val_mape=inf% | val_f1=0.822
2026-05-27 14:11:12 | INFO     | Epoch   6/400 | train_loss=0.2996 | val_loss=0.3894 | val_mae=0.238cm | val_mape=inf% | val_f1=0.810
2026-05-27 14:11:13 | INFO     | Epoch   7/400 | train_loss=0.3027 | val_loss=0.4759 | val_mae=0.237cm | val_mape=inf% | val_f1=0.809
2026-05-27 14:11:14 | INFO     | Epoch   8/400 | train_loss=0.2633 | val_loss=0.5523 | val_mae=0.228cm | val_mape=inf% | val_f1=0.785
2026-05-27 14:11:15 | INFO     | Epoch   9/400 | train_loss=0.2546 | val_loss=0.2850 | val_mae=0.159cm | val_mape=inf% | val_f1=0.859  [best]
2026-05-27 14:11:16 | INFO     | Epoch  10/400 | train_loss=0.2552 | val_loss=0.3717 | val_mae=0.220cm | val_mape=inf% | val_f1=0.843
2026-05-27 14:11:17 | INFO     | Epoch  11/400 | train_loss=0.2508 | val_loss=0.3579 | val_mae=0.193cm | val_mape=inf% | val_f1=0.840
2026-05-27 14:11:18 | INFO     | Epoch  12/400 | train_loss=0.2359 | val_loss=0.4157 | val_mae=0.290cm | val_mape=inf% | val_f1=0.825
2026-05-27 14:11:19 | INFO     | Epoch  13/400 | train_loss=0.2350 | val_loss=0.4382 | val_mae=0.275cm | val_mape=inf% | val_f1=0.817
2026-05-27 14:11:20 | INFO     | Epoch  14/400 | train_loss=0.2341 | val_loss=0.3435 | val_mae=0.375cm | val_mape=inf% | val_f1=0.840
2026-05-27 14:11:21 | INFO     | Epoch  15/400 | train_loss=0.2095 | val_loss=0.2981 | val_mae=0.467cm | val_mape=inf% | val_f1=0.847
