recording_file,peak_sample,window_start,window_end,peak_timestamp,window_start_time,window_end_time,presence_prob,length_cm,weight_g
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,4637,4618,4656,2025-10-28 11:39:56.651,2025-10-28 11:39:56.171,2025-10-28 11:39:57.127,0.9125,25.43,415.8
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,4665,4646,4684,2025-10-28 11:39:57.354,2025-10-28 11:39:56.873,2025-10-28 11:39:57.834,0.9376,26.33,446.7
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,4691,4672,4710,2025-10-28 11:39:58.009,2025-10-28 11:39:57.535,2025-10-28 11:39:58.486,0.75,25.71,418.4
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,4713,4694,4732,2025-10-28 11:39:58.554,2025-10-28 11:39:58.074,2025-10-28 11:39:59.038,0.8253,24.39,421.0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,5103,5084,5122,2025-10-28 11:40:08.328,2025-10-28 11:40:07.848,2025-10-28 11:40:08.794,0.6331,26.82,402.7
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,5123,5104,5142,2025-10-28 11:40:08.824,2025-10-28 11:40:08.343,2025-10-28 11:40:09.304,0.9619,24.44,372.3
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,5177,5158,5196,2025-10-28 11:40:10.167,2025-10-28 11:40:09.703,2025-10-28 11:40:10.647,0.5057,30.75,539.8
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,5283,5264,5302,2025-10-28 11:40:12.823,2025-10-28 11:40:12.360,2025-10-28 11:40:13.302,0.6239,27.57,468.8
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,5399,5380,5418,2025-10-28 11:40:15.733,2025-10-28 11:40:15.255,2025-10-28 11:40:16.214,0.9481,25.21,334.1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,5427,5408,5446,2025-10-28 11:40:16.438,2025-10-28 11:40:15.971,2025-10-28 11:40:16.901,0.7395,25.44,416.6
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,5447,5428,5466,2025-10-28 11:40:16.934,2025-10-28 11:40:16.486,2025-10-28 11:40:17.413,0.6311,26.67,466.6
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,5469,5450,5488,2025-10-28 11:40:17.489,2025-10-28 11:40:17.024,2025-10-28 11:40:17.957,0.9537,28.67,423.2
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,5603,5584,5622,2025-10-28 11:40:20.837,2025-10-28 11:40:20.357,2025-10-28 11:40:21.317,0.5306,25.61,370.5
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,5681,5662,5700,2025-10-28 11:40:22.788,2025-10-28 11:40:22.308,2025-10-28 11:40:23.268,0.953,24.21,272.2
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,5885,5866,5904,2025-10-28 11:40:27.892,2025-10-28 11:40:27.427,2025-10-28 11:40:28.371,0.967,26.73,398.2
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,6007,5988,6026,2025-10-28 11:40:30.946,2025-10-28 11:40:30.484,2025-10-28 11:40:31.426,0.9532,26.94,345.2
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,6143,6124,6162,2025-10-28 11:40:34.354,2025-10-28 11:40:33.889,2025-10-28 11:40:34.833,0.9003,24.95,422.7
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,6201,6182,6220,2025-10-28 11:40:35.810,2025-10-28 11:40:35.329,2025-10-28 11:40:36.290,0.9699,24.18,263.3
