2026-05-27 14:09:56 | INFO     | Run ID : 20260527_140956
2026-05-27 14:09:56 | INFO     | Device : cpu
2026-05-27 14:09:56 | INFO     | Train samples: 3808 | Val samples: 515
2026-05-27 14:09:56 | INFO     | Model parameters: 54,722
2026-05-27 14:09:57 | INFO     | Starting training for up to 400 epochs
2026-05-27 14:09:57 | INFO     | --------------------------------------------------------------------------------
2026-05-27 14:09:58 | INFO     | Epoch   1/400 | train_loss=0.4961 | val_loss=0.5737 | val_mae=0.122cm | val_mape=inf% | val_f1=0.800  [best]
2026-05-27 14:09:59 | INFO     | Epoch   2/400 | train_loss=0.4546 | val_loss=0.5578 | val_mae=0.140cm | val_mape=inf% | val_f1=0.781  [best]
2026-05-27 14:10:00 | INFO     | Epoch   3/400 | train_loss=0.3946 | val_loss=0.5484 | val_mae=0.153cm | val_mape=inf% | val_f1=0.750  [best]
2026-05-27 14:10:01 | INFO     | Epoch   4/400 | train_loss=0.3759 | val_loss=0.4668 | val_mae=0.113cm | val_mape=inf% | val_f1=0.727  [best]
2026-05-27 14:10:02 | INFO     | Epoch   5/400 | train_loss=0.3304 | val_loss=0.5890 | val_mae=0.158cm | val_mape=inf% | val_f1=0.736
2026-05-27 14:10:02 | INFO     | Epoch   6/400 | train_loss=0.2985 | val_loss=0.4144 | val_mae=0.141cm | val_mape=inf% | val_f1=0.804  [best]
2026-05-27 14:10:03 | INFO     | Epoch   7/400 | train_loss=0.3061 | val_loss=0.3368 | val_mae=0.148cm | val_mape=inf% | val_f1=0.823  [best]
2026-05-27 14:10:04 | INFO     | Epoch   8/400 | train_loss=0.2668 | val_loss=0.4556 | val_mae=0.134cm | val_mape=inf% | val_f1=0.802
2026-05-27 14:10:05 | INFO     | Epoch   9/400 | train_loss=0.2541 | val_loss=0.4769 | val_mae=0.108cm | val_mape=inf% | val_f1=0.819
2026-05-27 14:10:06 | INFO     | Epoch  10/400 | train_loss=0.2733 | val_loss=0.8437 | val_mae=0.166cm | val_mape=inf% | val_f1=0.632
2026-05-27 14:10:07 | INFO     | Epoch  11/400 | train_loss=0.2843 | val_loss=0.2315 | val_mae=0.137cm | val_mape=inf% | val_f1=0.856  [best]
2026-05-27 14:10:08 | INFO     | Epoch  12/400 | train_loss=0.2419 | val_loss=0.5878 | val_mae=0.158cm | val_mape=inf% | val_f1=0.789
2026-05-27 14:10:09 | INFO     | Epoch  13/400 | train_loss=0.2453 | val_loss=0.2429 | val_mae=0.156cm | val_mape=inf% | val_f1=0.860
2026-05-27 14:10:09 | INFO     | Epoch  14/400 | train_loss=0.2394 | val_loss=0.2518 | val_mae=0.170cm | val_mape=inf% | val_f1=0.856
2026-05-27 14:10:10 | INFO     | Epoch  15/400 | train_loss=0.2175 | val_loss=0.2322 | val_mae=0.179cm | val_mape=inf% | val_f1=0.873
2026-05-27 14:10:11 | INFO     | Epoch  16/400 | train_loss=0.2130 | val_loss=0.3212 | val_mae=0.135cm | val_mape=inf% | val_f1=0.836
2026-05-27 14:10:12 | INFO     | Epoch  17/400 | train_loss=0.2266 | val_loss=0.4864 | val_mae=0.142cm | val_mape=inf% | val_f1=0.833
2026-05-27 14:10:13 | INFO     | Epoch  18/400 | train_loss=0.2077 | val_loss=0.2730 | val_mae=0.091cm | val_mape=inf% | val_f1=0.871
2026-05-27 14:10:14 | INFO     | Epoch  19/400 | train_loss=0.2174 | val_loss=0.3253 | val_mae=0.054cm | val_mape=inf% | val_f1=0.835
2026-05-27 14:10:15 | INFO     | Epoch  20/400 | train_loss=0.1889 | val_loss=0.3767 | val_mae=0.074cm | val_mape=inf% | val_f1=0.844
2026-05-27 14:10:15 | INFO     | Epoch  21/400 | train_loss=0.1825 | val_loss=0.8698 | val_mae=0.139cm | val_mape=inf% | val_f1=0.703
2026-05-27 14:10:16 | INFO     | Epoch  22/400 | train_loss=0.2108 | val_loss=0.4722 | val_mae=0.068cm | val_mape=inf% | val_f1=0.792
2026-05-27 14:10:17 | INFO     | Epoch  23/400 | train_loss=0.1924 | val_loss=0.3744 | val_mae=0.056cm | val_mape=inf% | val_f1=0.836
2026-05-27 14:10:18 | INFO     | Epoch  24/400 | train_loss=0.2020 | val_loss=0.3709 | val_mae=0.134cm | val_mape=inf% | val_f1=0.824
2026-05-27 14:10:19 | INFO     | Epoch  25/400 | train_loss=0.2090 | val_loss=0.4262 | val_mae=0.142cm | val_mape=inf% | val_f1=0.843
2026-05-27 14:10:20 | INFO     | Epoch  26/400 | train_loss=0.1859 | val_loss=0.3060 | val_mae=0.175cm | val_mape=inf% | val_f1=0.871
2026-05-27 14:10:21 | INFO     | Epoch  27/400 | train_loss=0.1632 | val_loss=0.5889 | val_mae=0.225cm | val_mape=inf% | val_f1=0.812
2026-05-27 14:10:22 | INFO     | Epoch  28/400 | train_loss=0.1973 | val_loss=0.2897 | val_mae=0.174cm | val_mape=inf% | val_f1=0.875
2026-05-27 14:10:22 | INFO     | Epoch  29/400 | train_loss=0.1628 | val_loss=0.4759 | val_mae=0.179cm | val_mape=inf% | val_f1=0.839
