2026-04-30 21:55:45 | INFO     | Run ID : 20260430_215545
2026-04-30 21:55:45 | INFO     | Device : cuda
2026-04-30 21:55:45 | INFO     | Train samples: 630 | Val samples: 180
2026-04-30 21:55:45 | INFO     | Model parameters: 61,026
2026-04-30 21:55:46 | INFO     | Starting training for up to 600 epochs
2026-04-30 21:55:46 | INFO     | --------------------------------------------------------------------------------
2026-04-30 21:55:47 | INFO     | Epoch   1/600 | train_loss=47294.8992 | val_loss=47312.9264 | val_mae=973.714cm | val_mape=99.85% | val_f1=0.994  [best]
2026-04-30 21:55:48 | INFO     | Epoch   2/600 | train_loss=47335.8182 | val_loss=47159.9277 | val_mae=970.657cm | val_mape=99.44% | val_f1=1.000  [best]
2026-04-30 21:55:48 | INFO     | Epoch   3/600 | train_loss=47224.2045 | val_loss=46934.2852 | val_mae=966.154cm | val_mape=98.84% | val_f1=1.000  [best]
2026-04-30 21:55:48 | INFO     | Epoch   4/600 | train_loss=46874.6160 | val_loss=46598.6191 | val_mae=959.451cm | val_mape=97.97% | val_f1=1.000  [best]
2026-04-30 21:55:48 | INFO     | Epoch   5/600 | train_loss=46453.8436 | val_loss=46108.5482 | val_mae=949.665cm | val_mape=96.69% | val_f1=1.000  [best]
2026-04-30 21:55:48 | INFO     | Epoch   6/600 | train_loss=45689.7115 | val_loss=45413.1530 | val_mae=935.744cm | val_mape=94.87% | val_f1=1.000  [best]
2026-04-30 21:55:48 | INFO     | Epoch   7/600 | train_loss=45062.7283 | val_loss=44469.8197 | val_mae=916.889cm | val_mape=92.41% | val_f1=1.000  [best]
2026-04-30 21:55:49 | INFO     | Epoch   8/600 | train_loss=44079.9523 | val_loss=43272.2578 | val_mae=892.933cm | val_mape=89.27% | val_f1=1.000  [best]
2026-04-30 21:55:49 | INFO     | Epoch   9/600 | train_loss=42624.4840 | val_loss=41787.5312 | val_mae=863.254cm | val_mape=85.40% | val_f1=1.000  [best]
2026-04-30 21:55:49 | INFO     | Epoch  10/600 | train_loss=41178.5561 | val_loss=39981.3366 | val_mae=827.106cm | val_mape=80.69% | val_f1=1.000  [best]
2026-04-30 21:55:49 | INFO     | Epoch  11/600 | train_loss=38998.0600 | val_loss=37787.7689 | val_mae=783.257cm | val_mape=74.96% | val_f1=1.000  [best]
2026-04-30 21:55:49 | INFO     | Epoch  12/600 | train_loss=36663.9757 | val_loss=35211.9128 | val_mae=731.778cm | val_mape=68.23% | val_f1=1.000  [best]
2026-04-30 21:55:50 | INFO     | Epoch  13/600 | train_loss=33572.0539 | val_loss=32244.9255 | val_mae=672.336cm | val_mape=60.47% | val_f1=1.000  [best]
2026-04-30 21:55:50 | INFO     | Epoch  14/600 | train_loss=30711.7829 | val_loss=28918.1624 | val_mae=605.250cm | val_mape=52.17% | val_f1=1.000  [best]
2026-04-30 21:55:50 | INFO     | Epoch  15/600 | train_loss=27789.6536 | val_loss=25763.9743 | val_mae=542.168cm | val_mape=45.85% | val_f1=1.000  [best]
2026-04-30 21:55:50 | INFO     | Epoch  16/600 | train_loss=24962.6382 | val_loss=23145.9059 | val_mae=492.111cm | val_mape=43.42% | val_f1=1.000  [best]
2026-04-30 21:55:50 | INFO     | Epoch  17/600 | train_loss=22434.3759 | val_loss=20271.8161 | val_mae=434.627cm | val_mape=41.05% | val_f1=1.000  [best]
2026-04-30 21:55:50 | INFO     | Epoch  18/600 | train_loss=19633.7538 | val_loss=17731.6323 | val_mae=382.455cm | val_mape=39.49% | val_f1=1.000  [best]
