2026-06-14 15:36:58 | INFO     | Run ID  : 20260614_153658
2026-06-14 15:36:58 | INFO     | Device  : cpu
2026-06-14 15:36:58 | INFO     | Target  : weight (g)
2026-06-14 15:36:58 | INFO     | Train samples: 497 | Val samples: 269
2026-06-14 15:36:58 | INFO     | Model parameters: 54,722
2026-06-14 15:37:01 | INFO     | Starting training for up to 600 epochs
2026-06-14 15:37:07 | INFO     | Epoch  35/600 | train_loss=2487.3506 | val_loss=5512.0779 | val_mae=130.44g | val_mape=26.50% | val_f1=1.000  [best]
2026-06-14 15:37:07 | INFO     | Epoch  36/600 | train_loss=2491.0521 | val_loss=4751.0724 | val_mae=116.13g | val_mape=27.53% | val_f1=1.000  [best]
2026-06-14 15:37:07 | INFO     | Epoch  37/600 | train_loss=2392.1926 | val_loss=4522.9952 | val_mae=112.54g | val_mape=27.79% | val_f1=1.000  [best]
2026-06-14 15:37:07 | INFO     | Epoch  38/600 | train_loss=2192.5587 | val_loss=5638.2580 | val_mae=133.12g | val_mape=25.82% | val_f1=1.000
2026-06-14 15:37:08 | INFO     | Epoch  39/600 | train_loss=2191.8069 | val_loss=4571.4007 | val_mae=112.21g | val_mape=24.32% | val_f1=1.000
2026-06-14 15:37:08 | INFO     | Epoch  40/600 | train_loss=1976.8682 | val_loss=4798.5310 | val_mae=116.24g | val_mape=23.82% | val_f1=1.000
2026-06-14 15:37:08 | INFO     | Epoch  41/600 | train_loss=2061.6727 | val_loss=4274.9692 | val_mae=107.24g | val_mape=25.21% | val_f1=1.000  [best]
2026-06-14 15:37:08 | INFO     | Epoch  42/600 | train_loss=1971.0047 | val_loss=4379.8505 | val_mae=109.09g | val_mape=25.01% | val_f1=1.000
2026-06-14 15:37:08 | INFO     | Epoch  43/600 | train_loss=2038.8752 | val_loss=4433.1879 | val_mae=108.61g | val_mape=24.20% | val_f1=1.000
2026-06-14 15:37:09 | INFO     | Epoch  44/600 | train_loss=1779.7009 | val_loss=5155.1259 | val_mae=123.99g | val_mape=24.56% | val_f1=1.000
2026-06-14 15:37:09 | INFO     | Epoch  45/600 | train_loss=2184.9230 | val_loss=3834.5935 | val_mae=97.57g | val_mape=24.57% | val_f1=1.000  [best]
2026-06-14 15:37:09 | INFO     | Epoch  46/600 | train_loss=2011.9682 | val_loss=3347.9332 | val_mae=87.29g | val_mape=22.60% | val_f1=1.000  [best]
2026-06-14 15:37:09 | INFO     | Epoch  47/600 | train_loss=2005.6661 | val_loss=5016.9549 | val_mae=121.29g | val_mape=24.76% | val_f1=1.000
2026-06-14 15:37:09 | INFO     | Epoch  48/600 | train_loss=1930.9696 | val_loss=3885.3807 | val_mae=99.38g | val_mape=23.82% | val_f1=1.000
2026-06-14 15:37:09 | INFO     | Epoch  49/600 | train_loss=1989.5245 | val_loss=3834.7930 | val_mae=98.10g | val_mape=24.62% | val_f1=1.000
2026-06-14 15:37:09 | INFO     | Epoch  50/600 | train_loss=1952.1788 | val_loss=4071.3895 | val_mae=103.62g | val_mape=25.41% | val_f1=1.000
2026-06-14 15:37:10 | INFO     | Epoch  51/600 | train_loss=1900.8689 | val_loss=3750.0250 | val_mae=95.27g | val_mape=20.74% | val_f1=1.000
2026-06-14 15:37:10 | INFO     | Epoch  52/600 | train_loss=1724.8738 | val_loss=4364.4345 | val_mae=109.46g | val_mape=26.03% | val_f1=1.000
2026-06-14 15:37:10 | INFO     | Epoch  53/600 | train_loss=1839.4670 | val_loss=3730.3561 | val_mae=94.66g | val_mape=21.82% | val_f1=1.000
2026-06-14 15:37:10 | INFO     | Epoch  54/600 | train_loss=1755.8692 | val_loss=3420.2800 | val_mae=89.26g | val_mape=22.52% | val_f1=1.000
2026-06-14 15:37:10 | INFO     | Epoch  55/600 | train_loss=1800.2200 | val_loss=3614.2769 | val_mae=93.07g | val_mape=22.82% | val_f1=1.000
2026-06-14 15:37:10 | INFO     | Epoch  56/600 | train_loss=1783.5119 | val_loss=3968.7313 | val_mae=99.87g | val_mape=22.34% | val_f1=1.000
2026-06-14 15:37:11 | INFO     | Epoch  57/600 | train_loss=1826.3980 | val_loss=4367.6283 | val_mae=109.53g | val_mape=24.88% | val_f1=1.000
2026-06-14 15:37:11 | INFO     | Epoch  58/600 | train_loss=1654.5213 | val_loss=3888.1888 | val_mae=98.71g | val_mape=21.70% | val_f1=1.000
2026-06-14 15:37:11 | INFO     | Epoch  59/600 | train_loss=1845.8755 | val_loss=3857.9064 | val_mae=98.77g | val_mape=22.89% | val_f1=1.000
2026-06-14 15:37:11 | INFO     | Epoch  60/600 | train_loss=1685.2517 | val_loss=4170.2558 | val_mae=105.37g | val_mape=25.41% | val_f1=1.000
2026-06-14 15:37:11 | INFO     | Epoch  61/600 | train_loss=1755.3639 | val_loss=3609.3572 | val_mae=92.11g | val_mape=20.95% | val_f1=1.000
2026-06-14 15:37:11 | INFO     | Epoch  62/600 | train_loss=1572.3260 | val_loss=3958.3948 | val_mae=100.89g | val_mape=24.08% | val_f1=1.000
2026-06-14 15:37:11 | INFO     | Epoch  63/600 | train_loss=1775.5637 | val_loss=4059.5221 | val_mae=101.99g | val_mape=22.35% | val_f1=1.000
2026-06-14 15:37:12 | INFO     | Epoch  64/600 | train_loss=1702.2039 | val_loss=3188.3117 | val_mae=84.40g | val_mape=23.78% | val_f1=1.000  [best]
